show_id,type,title,country,release_year,duration,listed_in,description
tt0041719,Movie,Orpheus,France,1950,95 min,"fantasy, drama, romance, european","At the Café des Poètes in Paris, a fight breaks out between the poet Orphée and a group of resentful upstarts. A rival poet, Cègeste, is killed, and a mysterious princess insists on taking Orpheus and the body away in her Rolls-Royce. Orphée soon finds himself in the underworld, where the Princess announces that she is, in fact, Death. Orpheus escapes in the car back to the land of the living, only to become obsessed with the car radio.  This film is the central part of Cocteau's Orphic Trilogy, which consists of The Blood of a Poet (1930), Orpheus (1950) and Testament of Orpheus (1960)."
tt0034272,Movie,That Hamilton Woman,United States,1941,128 min,"drama, history, romance, war","The story of courtesan and dance-hall girl Emma Hamilton, including her relationships with Sir William Hamilton and Admiral Horatio Nelson and her rise and fall, set during the Napoleonic Wars."
tt0105046,Movie,Of Mice and Men,United States,1939,106 min,drama,An intellectually disabled giant and his level headed guardian find work at a sadistic cowboy's ranch in depression era America.
tt0033627,Movie,49th Parallel,"United Kingdom, Canada",1941,123 min,"thriller, war, drama","In the early days of World War II, a German U-boat is sunk in Canada's Hudson Bay. Hoping to evade capture, a small band of German soldiers led by commanding officer Lieutenant Hirth attempts to cross the border into the United States, which has not yet entered the war and is officially neutral. Along the way, the German soldiers encounter brave men such as a French-Canadian fur trapper, Johnnie, a leader of a Hutterite farming community, Peter, an author, Philip and a soldier, Andy Brock."
tt0018773,Movie,The Circus,United States,1928,72 min,"comedy, family, romance, european","Charlie, a wandering tramp, becomes a circus handyman - soon the star of the show - and falls in love with the circus owner's stepdaughter."
tt0024120,Movie,Dragnet Girl,Japan,1933,100 min,"romance, crime, drama",A gangster tries to find redemption with the inadvertent help of an innocent shop girl and his jealous girlfriend will do anything to keep him.
tt0024473,Movie,The Private Life of Henry VIII,United Kingdom,1933,90 min,"history, comedy, drama, romance","Renowned for his excess, King Henry VIII goes through a series of wives during his rule. With Anne Boleyn, his second wife, executed on charges of treason, King Henry weds maid Jane Seymour, but that marriage also ends in tragedy. Not one to be single for long, the king picks German-born Anne of Cleves as his bride, but their union lasts only months before an annulment is granted, and King Henry continues his string of spouses."
tt0042477,Movie,The Flowers of St. Francis,Italy,1950,87 min,"drama, comedy, european, history","In a series of simple and joyous vignettes, director Roberto Rossellini and co-writer Federico Fellini lovingly convey the universal teachings of the People’s Saint: humility, compassion, faith, and sacrifice. Gorgeously photographed to evoke the medieval paintings of Saint Francis’s time, and cast with monks from the Nocera Inferiore Monastery, The Flowers of St. Francis is a timeless and moving portrait of the search for spiritual enlightenment."
tt0084637,Movie,The Scarlet Pimpernel,United Kingdom,1934,97 min,drama,"18th century English aristocrat Sir Percy Blakeney leads a double life. He appears to be merely the effete aristocrat, but in reality is part of an underground effort to free French nobles from Robespierre's Reign of Terror."
tt0039224,Movie,Brute Force,United States,1947,98 min,"thriller, crime, drama","Timeworn Joe Collins and his fellow inmates live under the heavy thumb of the sadistic, power-tripping guard Captain Munsey. Only Collins' dreams of escape keep him going, but how can he possibly bust out of Munsey's chains?"
tt0029453,Movie,Pépé le Moko,France,1937,94 min,"crime, romance, drama, european","Pépé le Moko, one of France's most wanted criminals, hides out in the Casbah section of Algiers. He knows police will be waiting for him if he tries to leave the city. When Pépé meets Gaby, a gorgeous woman from Paris who is lost in the Casbah, he falls for her."
tt0013427,Movie,Nanook of the North,"France, United States",1922,79 min,"action, documentation","This pioneering documentary film depicts the lives of the indigenous Inuit people of Canada's northern Quebec region. Although the production contains some fictional elements, it vividly shows how its resourceful subjects survive in such a harsh climate, revealing how they construct their igloo homes and find food by hunting and fishing. The film also captures the beautiful, if unforgiving, frozen landscape of the Great White North, far removed from conventional civilization."
tt0038823,Movie,Paisan,Italy,1946,125 min,"drama, european, war","Six vignettes follow the Allied invasion from July 1943 to winter 1944, from Sicily north to Venice."
tt0017409,Movie,So This Is Paris,United States,1926,70 min,comedy,"Paul and Suzanne Giraud are happily married and living in a quiet neighborhood. When Suzanne notices that their new neighbors are expressive dancers in revealing outfits, she demands Paul speak to them about their lack of morality. Paul discovers that the woman is Georgette Lalle, an old flame."
tt0018737,Movie,Pandora's Box,Germany,1929,109 min,"romance, crime, european, drama","Lulu is a young woman so beautiful and alluring that few can resist her siren charms. The men drawn into her web include respectable newspaper publisher Dr. Ludwig Schön, his musical producer son Alwa, circus performer Rodrigo Quast and Lulu's seedy old friend, Schigolch. When Lulu's charms inevitably lead to tragedy, the downward spiral encompasses them all."
tt0039631,Movie,Monsieur Verdoux,United States,1947,124 min,"comedy, crime, drama","The film is about an unemployed banker, Henri Verdoux, and his sociopathic methods of attaining income. While being both loyal and competent in his work, Verdoux has been laid-off. To make money for his wife and child, he marries wealthy widows and then murders them. His crime spree eventually works against him when two particular widows break his normal routine."
tt0032728,Movie,The Long Voyage Home,United States,1940,105 min,"drama, war",The crew of the merchant ship Glencairn hope to survive a transatlantic crossing during World War II. Adapted from four Eugene O'Neill one-act plays.
tt0099615,Movie,The Freshman,United States,1925,76 min,"romance, comedy, family, sport","Harold Lamb is so excited about going to college that he has been working to earn spending money, practicing college yells, and learning a special way of introducing himself that he saw in a movie. When he arrives at Tate University, he soon becomes the target of practical jokes and ridicule. With the help of his one real friend Peggy, he resolves to make every possible effort to become popular."
tt0037824,Movie,"Ivan the Terrible, Part I",,1944,99 min,"drama, history","Sergei Eisenstein's final film, this is the first part of a three-part biopic of Czar Ivan Grozny, which was never completed due again to producer dissatisfaction with Eisenstein's attempts to use forbidden experimental filming techniques and excessive cost overruns.  The second part was completed but not released for a decade after Eisenstein's death and a change of heart in the USSR government toward his work; the third part was only in its earliest stage of filming when shooting was stopped altogether.  In this first part, set during the early part of his reign, Ivan faces betrayal from the aristocracy and even his closest friends as he seeks to unite the Russian people."
tt0043153,Movie,Young Man with a Horn,United States,1950,113 min,"music, romance, drama","Legendary trumpeter Art Hazzard teaches young Rick Martin everything he knows about playing, so Rick becomes a star musician, but a troubled marriage and the desire to play pure jazz instead of commercial swing songs cause him problems."
tt0034881,Movie,I Married a Witch,United States,1942,74 min,"romance, fantasy, comedy","Rocksford, New England, 1672. Puritan witch hunter Jonathan Wooley is cursed after burning a witch at the stake: his descendants will never find happiness in their marriages. At present, politician Wallace Wooley, who is running for state governor, is about to marry his sponsor's daughter."
tt12726428,Movie,Stromboli,"Italy, United States",1950,105 min,"drama, european","After the end of World War II Karen, a young displaced woman from Lithuania, marries Italian fisherman Antonio to get away from her internment camp. But the life on Antonio's island, Stromboli, threatened by its volcano, is a tough one and Karen cannot get used to it."
tt0038256,Movie,Without Love,United States,1945,111 min,"romance, comedy, european","In World War II Washington DC, scientist Pat Jamieson's assistant, Jamie Rowan, enters a loveless marriage with him. Struggles bring them closer together."
tt0039417,Movie,"Germany, Year Zero","Italy, France, Germany",1948,72 min,"drama, war, european","In the ruins of Berlin, a twelve-year-old boy, Edmund Kohler, is left to his own devices in order to survive and to help his family do the same."
tt0173664,Movie,The Big House,United States,1930,87 min,"crime, drama, thriller","Convicted of manslaughter for a drunken driving accident, Kent Marlowe is sent to prison, where he meets vicious incarcerated figures who are planning an escape from the brutal conditions."
tt0041158,Movie,The Barkleys of Broadway,United States,1949,109 min,"comedy, music, romance","Josh and Dinah Barkley are a successful musical-comedy team, known for their stormy but passionate relationship. Dinah feels overshadowed by Josh and limited by the lighthearted musical roles he directs her in. So she decides to stretch her skills by taking a role in a serious drama, directed by another man."
tt0034936,Movie,Keeper of the Flame,United States,1943,100 min,drama,Famed reporter Stephen O'Malley travels to a small town to investigate the death of a national hero.
