id,title,Year,Age,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,poster
tt8271714,John Mulaney: Kid Gorgeous at Radio City,2018,18+,89/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BNzY4ZGM4ZDEtMDJiNS00MGZlLWJkZTctY2VmYzc4YTQzOWZlXkEyXkFqcGdeQXVyNTMxMjgxMzA@._V1_.jpg
tt6292852,I Am Mother,2019,13+,89/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BMTkxMTczNTA4Nl5BMl5BanBnXkFtZTgwNDAyMzgwODM@._V1_.jpg
tt10915286,Tell Me Who I Am,2019,18+,89/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BMTgzZTZjZjMtM2VkMC00M2I1LWE4ZjYtZDRjMzc3NzJkODk1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg
tt0407887,The Departed,2006,18+,89/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3._V1_.jpg
tt4908644,Winter on Fire: Ukraine's Fight for Freedom,2015,16+,89/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BMjExNjQ0NzM5M15BMl5BanBnXkFtZTgwNjI5NjE4MjI@._V1_.jpg
tt0103064,Terminator 2: Judgment Day,1991,18+,89/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BMGU2NzRmZjUtOGUxYS00ZjdjLWEwZWItY2NlM2JhNjkxNTFmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg
tt9806192,I Lost My Body,2019,18+,89/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BYzRlNmViODgtNjQwZC00ZGE3LWJmMWMtOTcwNzMwYTY5OTcyXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg
tt1853728,Django Unchained,2012,18+,89/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BMjIyNTQ5NjQ1OV5BMl5BanBnXkFtZTcwODg1MDU4OA@@._V1_.jpg
tt9683478,The Half of It,2020,13+,89/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BNGZhZWQ0MTgtMmY5Yi00MWZlLWE0MDUtYWUzZDU2MGU0ZDMyXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg
tt7533152,The Boy Who Harnessed the Wind,2019,7+,89/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BNjM2OTg5MTA0OV5BMl5BanBnXkFtZTgwNTMyNTY0NzM@._V1_.jpg
tt7395114,The Devil All the Time,2020,18+,89/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BZmE1NmVmN2EtMjZmZC00YzAyLWE4MWEtYjY5YmExMjUxODU1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg
tt2452386,The Fundamentals of Caring,2016,18+,89/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BMTA1Mjc4ODI0NzReQTJeQWpwZ15BbWU4MDQ3MzAwMjkx._V1_.jpg
tt11161474,Pieces of a Woman,2020,18+,88/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BMGE3MzMzOTAtOTExMy00MzFiLWFjNDItN2ZiZmYyYjY2MWUwXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_.jpg
tt3748172,Gerald's Game,2017,18+,88/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BMjkxYTM4MmUtM2M0MC00MTUzLWIxYTQtOTg4MGVkZjEwNmE1XkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_.jpg
tt5607714,On Body and Soul,2017,,88/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BOTcwYTk3YTAtODZjZi00MmI1LWEyNTItYTNkZWZjNGU1OGIwXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg
tt1130884,Shutter Island,2010,18+,88/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BYzhiNDkyNzktNTZmYS00ZTBkLTk2MDAtM2U0YjU1MzgxZjgzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg
tt7374948,Always Be My Maybe,2019,13+,88/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BMGM2NWFjYTctZjFiYy00YzIxLThhY2QtY2UxZTNmNjdjZTU0XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg
tt1675434,The Intouchables,2011,7+,88/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BMTYxNDA3MDQwNl5BMl5BanBnXkFtZTcwNTU4Mzc1Nw@@._V1_.jpg
tt10847306,Bill Burr: Paper Tiger,2019,18+,87/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BODQyNTYzNjctMTM5Zi00NmE4LTg5ODAtYTdkNzE3NTdjODFkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg
tt2377938,Special 26,2013,,87/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BMTQ1NDI5MjMzNF5BMl5BanBnXkFtZTcwMTc0MDQwOQ@@._V1_.jpg
tt8618654,Kiss the Ground,2020,18+,87/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BZjI4MjJkNjEtMDRmYy00OGNmLWI1YzItMWJjYTM0ODVjM2FjXkEyXkFqcGdeQXVyMTEyMjIzMTUx._V1_.jpg
tt8923484,Crip Camp: A Disability Revolution,2020,18+,87/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BNzQ2MTUwOTItMzhhMS00ZGM2LThjMTktYWE2YmUyYjA2MWRhXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_.jpg
tt8936646,Extraction,2020,18+,87/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BOTg5YzJlYjYtNDA5Yi00M2YwLWFlY2QtNDdiNTQ5Y2U5N2M1XkEyXkFqcGdeQXVyNjkxNDQxNzI@._V1_.jpg
tt2550300,No Direction Home: Bob Dylan,2005,all,87/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BMjc3MjU1MjktMTZjNi00ZTRiLWJmYWQtMjQxYmRhY2RmOTg2XkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_.jpg
tt0248126,Kabhi Khushi Kabhie Gham,2001,all,87/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BOTQ5Nzc3NzAtMzZlMS00ZWJjLWIxMGMtNDU4ZTQ1NmNjMjc5XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg
tt8508734,His House,2020,16+,87/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BZWQ3MTUxNDMtMDllMi00MDg3LTkwYjQtZmQ4NDIxMWQ5MTE0XkEyXkFqcGdeQXVyNjU1NzU3MzE@._V1_.jpg
tt7019942,Super Deluxe,2019,18+,87/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BYjNkNDEzNDctYTk0Mi00NzNlLWEyZGItMmYzMGE4MzcyYzU3XkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_.jpg
tt1289403,The Guernsey Literary & Potato Peel Pie Society,2018,16+,87/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BNjIyNzhhMmQtMjNlZS00MGRkLWE0ODgtY2E4MGMzMjk2M2IzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg
tt3260524,A Secret Love,2020,18+,87/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BMmEzMzY0ZmYtN2RjZi00MzMwLTg5NGMtNjliMTQyNjVkYjBhXkEyXkFqcGdeQXVyNDczMzM3MDc@._V1_.jpg
tt6116856,The Night Comes for Us,2018,18+,87/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BZTJhMWE4MDUtYTIzYi00M2ZmLThhNjgtZTM2YTY0NDU1NWJhXkEyXkFqcGdeQXVyOTA5NzQ0MDQ@._V1_.jpg
tt0118715,The Big Lebowski,1998,18+,87/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BMTQ0NjUzMDMyOF5BMl5BanBnXkFtZTgwODA1OTU0MDE@._V1_.jpg
tt7218518,Pad Man,2018,13+,87/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BODViYjQ0YTktMTM5NS00YTVkLWE5MmUtNGY1MzUwOGY0OTg2XkEyXkFqcGdeQXVyNjg5NzkxNTU@._V1_.jpg
tt9351980,American Factory,2019,13+,86/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BNWFkMDY1MjItZmNkOS00MDg2LWFlMjMtZWU3YmM0MmY3MWM3XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg
tt2737304,Bird Box,2018,18+,86/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BMjAzMTI1MjMyN15BMl5BanBnXkFtZTgwNzU5MTE2NjM@._V1_.jpg
tt0253474,The Pianist,2002,18+,86/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BOWRiZDIxZjktMTA1NC00MDQ2LWEzMjUtMTliZmY3NjQ3ODJiXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg
tt1187043,3 Idiots,2009,13+,86/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BMWYxZWRiNzQtYTRmMC00MmQ2LTkwMmYtMWYzOTViYTgyMTE1XkEyXkFqcGdeQXVyNzMzMjU5NDY@._V1_.jpg
tt4562518,The Distinguished Citizen,2016,,86/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BZTdmZWQ3YjEtNWI3OC00NjQyLThmMTktMTZkNjUzYWVhNDk1XkEyXkFqcGdeQXVyMTA4NjE0NjEy._V1_.jpg
tt6193408,A Shaun the Sheep Movie: Farmageddon,2019,all,86/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BNTdjZjBkMDMtODBlNi00N2E0LWE1OGItOTgxODNmMDkzNGJmXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_.jpg
tt0066921,A Clockwork Orange,1971,18+,86/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BMTY3MjM1Mzc4N15BMl5BanBnXkFtZTgwODM0NzAxMDE@._V1_.jpg
tt1536537,What Happened to Monday,2017,18+,86/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BYzNmYzA1MWItOTA4NC00YjUwLTg1ZDYtMDNlODk4YjY4NjFmXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_.jpg
tt5087554,Anthony Jeselnik: Thoughts and Prayers,2015,18+,86/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BNmIyNGU0MTEtYzE2Zi00ZGYwLWFiYzktMjhhYTkyNTJlZDE4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTg2NDYxMzc@._V1_.jpg
tt6073176,The White Helmets,2016,16+,86/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BZmU0MDkzZDktZTUyMC00N2JiLWI0Y2QtNWJmM2ZmYjQxNTZmXkEyXkFqcGdeQXVyMjkzMDQxNTE@._V1_.jpg
tt6739094,Invader ZIM: Enter the Florpus,2019,7+,86/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BZTYyY2NlMzktZWE4Yi00ZjkxLWJjZGItNTgyMDU3YTc4MTlkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg
tt6752992,Happy as Lazzaro,2018,13+,85/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BOWYwOTBmOGMtZWZiNC00YjNjLWIzOTUtNGEzZWFkYTg1ZDdjXkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_.jpg
tt6333054,Chasing Coral,2017,,85/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BZGI2ZWZmZDktOTFkZi00YjlhLTllMWEtODM1MTY3Yzk1M2VjXkEyXkFqcGdeQXVyMTA4ODI5Mjc@._V1_.jpg
tt0347304,Kal Ho Naa Ho,2003,all,85/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BOTRmMjg1NTItNmEwNi00MWNjLWFjNDYtNTJjNzkwZmNkMGUwXkEyXkFqcGdeQXVyNTE0MDc0NTM@._V1_.jpg
tt0457430,Pan's Labyrinth,2006,18+,85/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BYzFjMThiMGItOWRlMC00MDI4LThmOGUtYTNlZGZiYWI1YjMyXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_.jpg
tt5598216,Team Foxcatcher,2016,16+,85/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BMzNkMmFhNTktMGE5Yi00YjgyLTk1Y2UtZjA4YzdhZGE5N2ZjXkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_.jpg
tt5536736,The Meyerowitz Stories (New and Selected),2017,18+,85/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BMTY1MTA1MjU4NV5BMl5BanBnXkFtZTgwMTAwMzE2MzI@._V1_.jpg
tt0381061,Casino Royale,2006,13+,85/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BYmI3MmMzMGMtNzc4Ni00YWQ4LWFkMDYtNjVlOWU3ZGZiNjY1XkEyXkFqcGdeQXVyNDQ2MTMzODA@._V1_.jpg
tt3460252,The Hateful Eight,2015,18+,85/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BMjA1MTc1NTg5NV5BMl5BanBnXkFtZTgwOTM2MDEzNzE@._V1_.jpg
tt1979320,Rush,2013,18+,84/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BOWEwODJmZDItYTNmZC00OGM4LThlNDktOTQzZjIzMGQxODA4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg
tt1156398,Zombieland,2009,18+,84/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BMTU5MDg0NTQ1N15BMl5BanBnXkFtZTcwMjA4Mjg3Mg@@._V1_.jpg
tt8580274,Eurovision Song Contest: The Story of Fire Saga,2020,13+,84/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BYjA2NjJjZDQtMWUwNi00NzMyLTg5MmYtMDlhNjk4NmYxY2Y1XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_.jpg
tt4900716,Kapoor & Sons,2016,13+,84/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BMWYzNDdmZmUtYTUwZS00MzgwLWI5ZmItZjdlODUzNTEwMDgyXkEyXkFqcGdeQXVyMTA4NjE0NjEy._V1_.jpg
tt7772580,The Perfection,2018,18+,84/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BMTA3NzkzMDUxODBeQTJeQWpwZ15BbWU4MDM0ODc5ODcz._V1_.jpg
tt10810424,Dave Chappelle: Sticks & Stones,2019,18+,84/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BNTUyZjljZmItYjNhOS00ODc2LTlkOGUtMjY2NDg1MDkyMWQzXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_.jpg
tt0469494,There Will Be Blood,2007,18+,84/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BMjAxODQ4MDU5NV5BMl5BanBnXkFtZTcwMDU4MjU1MQ@@._V1_.jpg
tt0405159,Million Dollar Baby,2004,13+,84/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BMTkxNzA1NDQxOV5BMl5BanBnXkFtZTcwNTkyMTIzMw@@._V1_.jpg
tt1285016,The Social Network,2010,13+,84/100,1,1,0,0,0,https://m.media-amazon.com/images/M/MV5BOGUyZDUxZjEtMmIzMC00MzlmLTg4MGItZWJmMzBhZjE0Mjc1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg
tt2990140,The Christmas Chronicles,2018,7+,84/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BNTA3NjU3OTM2MV5BMl5BanBnXkFtZTgwNjQ2MzE1NjM@._V1_.jpg
tt0071853,Monty Python and the Holy Grail,1975,7+,84/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BN2IyNTE4YzUtZWU0Mi00MGIwLTgyMmQtMzQ4YzQxYWNlYWE2XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg
tt1059955,The Pixar Story,2007,all,84/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BMjAwMTM0NjU5M15BMl5BanBnXkFtZTgwOTg1NjcwMzE@._V1_.jpg
tt10514222,Ma Rainey's Black Bottom,2020,18+,84/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BNTBlZGY1OTAtN2RjMC00ZThiLWFiZmUtN2VkOGMxNmMyYjQwXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_.jpg
tt6218358,Calibre,2018,18+,84/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BY2E0NWFmNGItZDFjOS00OGEyLWEyYjEtOGQzYzc3NTZkZjJkXkEyXkFqcGdeQXVyNzMzMjU5NDY@._V1_.jpg
tt1045658,Silver Linings Playbook,2012,18+,84/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BMTM2MTI5NzA3MF5BMl5BanBnXkFtZTcwODExNTc0OA@@._V1_.jpg
tt7488208,Over the Moon,2020,7+,84/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BZWU3NTU4YTYtZDNlYS00YTQ3LWI5ZWEtNWJhZjljNzAzNzU1XkEyXkFqcGdeQXVyODIyOTEyMzY@._V1_.jpg
tt4284010,"What Happened, Miss Simone?",2015,,84/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BNGQxMzUxMjktZGVkYy00ZmVlLWE1MTktMzNhMjQwNWFlNGNjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg
tt2872718,Nightcrawler,2014,18+,84/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BN2U1YzdhYWMtZWUzMi00OWI1LWFkM2ItNWVjM2YxMGQ2MmNhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg
tt6214928,1922,2017,18+,84/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BMmM4M2U4NjEtN2VlZS00ZmM3LTg4NTgtZDYzODBkMmNiMGNiXkEyXkFqcGdeQXVyODUxNTAwNQ@@._V1_.jpg
tt8041276,Paddleton,2019,18+,84/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BMjAyZDUxODQtZjBhMy00NmQ5LTg5MmMtNGUxZjhkODk1NjdiXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_.jpg
tt3860916,Cargo,2017,,84/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BZTczZWEyOTktODNmMC00NDgzLTk3NTktYjllN2Y4MWMxOGViXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg
tt0095953,Rain Man,1988,18+,83/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BMzVjNzI4NzYtMjE4NS00M2IzLWFkOWMtOTYwMWUzN2ZlNGVjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg
tt7320560,Cuba and the Cameraman,2017,,83/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BNTM4ZmI2NzAtZjJkMi00YWFjLTkzN2ItOTkwMTRkOGMzZmIyXkEyXkFqcGdeQXVyNjY5NTM5MjA@._V1_.jpg
tt5638642,The Ritual,2017,18+,83/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BOTUzOTgzMzE2OF5BMl5BanBnXkFtZTgwMDQ0NTY2NDM@._V1_.jpg
tt9506474,The Hater,2020,18+,83/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BNTk5YTk0ZGEtZWZlYy00ZDk2LTlmZDItOTVkMjdmYTkzNDBmXkEyXkFqcGdeQXVyMjU0NzM5MjY@._V1_.jpg
tt6016744,The Edge of Democracy,2019,16+,83/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BNDE2NGVmOWItYWI2NC00ZDcxLTk1NmQtYTE5M2U0MmIyYWM1XkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_.jpg
tt7280898,22-jul,2018,18+,83/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BZGNlNWRmMzAtMWNlMS00OGNmLTkxYTAtODdjOGZiMjNkYzZjXkEyXkFqcGdeQXVyODExNTExMTM@._V1_.jpg
,Adam Sandler: 100% Fresh,2018,18+,83/100,1,0,0,0,0,
tt0499375,Guru,2007,13+,83/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BYWIxNDExYjUtYjRjNS00N2M0LTk4OWYtMDM3NmZjMDE0YTZmXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg
tt6792282,A Twelve-Year Night,2018,18+,83/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BYjk5ZjFiNWItMTRhMS00NWM2LWExMjItNjM1MzU2ODFmZDhkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg
tt4878482,Dumplin',2018,13+,83/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BMTY5MWQ5MmYtZWRjNC00ZjgyLWFmMWEtYmQ5NTkwYzEzOWM1XkEyXkFqcGdeQXVyODM5MDU0NTQ@._V1_.jpg
tt1457767,The Conjuring,2013,18+,83/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BMTM3NjA1NDMyMV5BMl5BanBnXkFtZTcwMDQzNDMzOQ@@._V1_.jpg
tt7653254,Marriage Story,2019,18+,83/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BZGVmY2RjNDgtMTc3Yy00YmY0LTgwODItYzBjNWJhNTRlYjdkXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_.jpg
tt12888462,My Octopus Teacher,2020,all,83/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BZDcyZDdiYzMtM2MzYi00MzE2LWFhNmMtNmE2ZTVhYjAxOTc4XkEyXkFqcGdeQXVyMzExODEzNDA@._V1_.jpg
