id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,poster
tt7149730,Movie,Resilencia,Jep Barcelona,"Rafinha Alcantara, Marc-André Ter Stegen, Sergi Roberto, Dr. Ramón Cugat, Mazinho, Xavi Arruebo, Celia Ferreira Da Silva, Ángel Lapuebla, Javier Enríquez, Thiago Alcantara, Valeria Alcantara",Spain,"April 24, 2021",2020,,46 min,"Documentary, Sports","The documentary follows the midfielder’s everyday life for six months. It’s a sincere portrayal by Rafinha himself, who opened his home for the cameras to film every moment, even allowing them into the operating room.",https://m.media-amazon.com/images/M/MV5BNTQ3YjBiMWQtMThhZi00MjJjLWI4NGQtZDI0NzNmY2VhYWJiXkEyXkFqcGdeQXVyMTA4NjE0NjEy._V1_.jpg
tt9219848,Movie,Elon Musk: The Real Life Iron Man,Sonia Anderson,"Elon Musk, Per Wimmer, Julie Anderson-Ankenbrandt, Cary Cooper",United Kingdom,"May 2, 2021",2018,,74 min,Documentary,"Discover the meteoric rise of Elon Musk, the man who is transforming the way we think about travel technology through electric cars, the Hyperloop, and revolutionary ideas on how we live through artificial intelligence and colonizing Mars.",https://m.media-amazon.com/images/M/MV5BOGIzZjhhMTUtY2NhNS00OGQ4LTgwZjMtY2I4YTg0MTk3YzI3XkEyXkFqcGdeQXVyMTczMDExODk@._V1_.jpg
tt7284204,Movie,Summer '03,Becca Gleason,"Joey King, Jack Kilmer, Andrea Savage, Paul Scheer, June Squibb, Erin Darke, Stephen Ruffin, Kelly Lamor Wilson, Logan Medina, Travis James, Bill Eudaly, Elise DuQuette",United States,"June 3, 2021",2019,,96 min,"Comedy, Drama","Summer '03 is the hilarious story of 16-year-old Jamie and her family, who are shocked after her calculating grandmother unveils an array of family secrets on her deathbed, one involving religion, the other of a more personal nature. Jamie is left to navigate her own love life and her closest friendships in the midst of this family crisis, and one of the most memorable summers of her life.",https://m.media-amazon.com/images/M/MV5BZjhjYjVmZmYtMzBiNi00OWYxLWEwNjUtNjQ1NWEzOTgxODc4XkEyXkFqcGdeQXVyNzc0MTgzMzU@._V1_.jpg
tt5340882,Movie,Zoombies,Glenn Miller,"Marcus Anderson, Kaiwi Lyman, Andrew Asper",,,2016,13+,87 min,"Horror, Science Fiction","When a strange virus quickly spreads through a safari park and turns all the zoo animals undead, those left in the park must stop the creatures before they escape and zombify the whole city.",https://m.media-amazon.com/images/M/MV5BMDZiMTU0ZmUtY2U1Ni00MzY3LWI4NjMtNzY4ZDFkYmQ5OGM3XkEyXkFqcGdeQXVyNjUyNjMzMzU@._V1_.jpg
tt1657865,Movie,Zoe,Drake Doremus,"Ewan McGregor, Léa Seydoux, Theo James, Miranda Otto, Rashida Jones, Christina Aguilera, Matthew Gray Gubler, Anthony Shim",,,2018,R,104 min,Science Fiction,"ZOE tells a tale of forbidden love between an engineer and a robot. ZOE (Léa Seydoux) and COLE (Ewan McGregor) are colleagues and veiled lovers at a lab working to perfect romantic relationships. But their relationship is threatened when Zoe discovers the truth about their relationship, sending them into a spiral of confusion, betrayal and the most intense of human emotions, love.",https://m.media-amazon.com/images/M/MV5BYWU3Yjk0NmMtMjdkYS00YTc4LWFkMTctOGQyOWRiN2I2YWZhXkEyXkFqcGdeQXVyNzA0NjcwNTA@._V1_.jpg
tt0034416,Movie,Zis Boom Bah,William Nigh,"Grace Hayes, Mary Healy",,,1941,NR,62 min,"Arts, Entertainment, and Culture, Comedy, Drama","""Hey, kids, let's get together and put on a show!"" That's the idea behind this raucous spoof about a vaudeville performer who goes to college to spy on her bratty son.",https://m.media-amazon.com/images/M/MV5BZjE3YjQ5MDUtMDJlMi00NWRlLThlZTItZTNhYmI0Y2YxMTFhXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_.jpg
tt0101004,Movie,Zandalee,Sam Pillsbury,"Nicolas Cage, Judge Reinhold, Erika Anderson, Joe Pantoliano, Viveca Lindfors, Aaron Neville, Steve Buscemi, Ian Abercrombie, Marisa Tomei, Jo-El Sonnier, Newell Alexander, Blaise Delacroix, Eliott Keener, Richard Greenberg, John Cutler, Thomas Iain",,,1991,R,94 min,Drama,"Zandalee has grown bored with her poet-turned-businessman husband and has an affair with his best friend. When their passions grow wild, it proves to be too hot for any of them to handle.",https://m.media-amazon.com/images/M/MV5BNzg5ODRlMjMtYmExYi00Y2NlLThhNmEtNzlhNWYyZjg4MDk2XkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_.jpg
tt0124111,Movie,Zambezi: Force of Life,Dr. Rudolf Lammers,,,,2005,ALL,50 min,Documentary,"The Zambezi river is the fourth-longest river in Africa, flowing from the heart of Zambia all the way to the Indian Ocean. Along the way, we discover the breathtaking wildlife that call the river home, including hippos and crocodiles. As we follow the course of this infamous river, even more diverse wildlife is revealed along its shores. With danger at every turn, this is Zambezi!",https://m.media-amazon.com/images/M/MV5BMTNjOGJjMWYtNTI5NC00OGNiLTlhYTEtZTJhZGFlZjViOGI2L2ltYWdlXkEyXkFqcGdeQXVyNjcyOTkzNTI@._V1_.jpg
tt13462472,Movie,Young Lovers,Ida Lupino,"Sally Forrest, Keefe Brasselle, Hugh O'Brian, Eve Miller, Lawrence Dobkin, Rita Lupino",,,1949,18+,86 min,Drama,"Talented and beautiful Carol Williams (Forrest) is devastated when she learns she has contracted Polio and becomes crippled by the disease. The depressed and embittered young woman breaks her engagement to her dance partner and choreographer, Guy Richards (Brasselle), but he is determined to stay by her side. Preferring to be alone in her misery, Carol slowly learns to allow others to help her and share in her grief. She is finally able to bring herself to participate in and go on with her new life.",https://m.media-amazon.com/images/M/MV5BN2Y3ZTljN2YtNjBkMS00NDI0LWIzYmMtZjYxMDM2MGU2ZmYzXkEyXkFqcGdeQXVyMTEzMTQzOTk2._V1_.jpg
tt17913610,Movie,Young Love (at the Sun Factory),,,,,2007,NR,36 min,Music Videos and Concerts,"Young Love celebrates the release of ""Too Young To Fight It"" with a midnight show inside an old factory building.",
tt1921032,Movie,Young Love (at Bowery Ballroom),,,,,2007,NR,37 min,Music Videos and Concerts,"Young Love returns to Baeble's silver screen with a bigger stage, expanded setlist, nicer clothes, and the same blend of rock, dance, and pop.",//fls-na.amazon.com/1/batch/1/OP/A1EVAM02EL8SFB:145-2394009-1577054:YPF1262KVM0ZPPQT8YZT$uedata=s:%2Fuedata%2Fuedata%3Fnoscript%26id%3DYPF1262KVM0ZPPQT8YZT:0
tt1198156,Movie,You're Not You,George C. Wolfe,"Hilary Swank, Emmy Rossum, Josh Duhamel",,,2015,R,103 min,Drama,A drama centered on a classical pianist who has been diagnosed with ALS and the brash college student who becomes her caregiver.,https://m.media-amazon.com/images/M/MV5BMTczNDkyODA1N15BMl5BanBnXkFtZTgwNjIwOTI4MjE@._V1_.jpg
tt4928814,Movie,"You, Me and Him",Daisy Aitkens,"David Tennant, Lucy Punch, Faye Marsay, Gemma Jones",,,2017,,98 min,"Comedy, Drama","In You, Me and Him we meet lesbian couple Olivia and Alex (Lucy Punch, Faye Marsay) who, despite their age difference, are very much in love. But as the question of pregnancy rears its head and their neighbor John (David Tennant) befriends them, they both start making some truly disastrous decisions.",https://m.media-amazon.com/images/M/MV5BZjhhZjBkZmMtZjU3Zi00NTEwLWE2NjUtMmNkMTc4YzA1MzZlXkEyXkFqcGdeQXVyMjk3MjI4MzA@._V1_.jpg
tt2981288,Movie,Yoga with Sound Meditations,Mark Knight,Ann-Marie Newland,,,2016,ALL,9 min,"Fitness, Special Interest","This session will establish how to prepare for the practice of both mindfulness and meditation. We learn to sit with a correctly aligned spine, to observe, regulate, slow down and control the breath. These in-turn will act upon the mind and begin to still its chatter and noise. Performed by Anne-Marie Newland founder of Sun Power Yoga teacher training school and author of ""Sun Power Yoga Shala!""",https://m.media-amazon.com/images/M/MV5BMjIwOTE1MjMyMl5BMl5BanBnXkFtZTgwNzk0ODAxMzE@._V1_.jpg
tt17178090,Movie,Yoga to Harness Your Chakra Energy,Mark Knight,Caroline Shola Arewa,,,2014,ALL,18 min,"Faith and Spirituality, Special Interest","Sharecare Windows presents Caroline Shola Arewa who describes the positions, meaning and qualities of energy, as well as the seven main chakras, gently leading you into a guided chakra meditation. Chakras are at the heart of the human energy system and understanding the chakra system can positively affect your physical health, emotional stability and spiritual awareness.",https://m.media-amazon.com/images/M/MV5BYWZjNmYwYTMtNjEzMy00NzQ0LTg1YTktZTMwOGI0NDc5ODk0XkEyXkFqcGdeQXVyMTA1Mzk1NDMy._V1_.jpg
tt23347078,Movie,Yoga to Ease Flight Anxiety,Mark Knight,Anne-Marie Newland,,,2016,ALL,14 min,"Fitness, Special Interest",Reduce the stress of flying by using these simple and affective yoga-based moves to keep the blood flowing around the body. Help prevent Deep Vein Thrombosis and allow the heart and the brain to get as much oxygen on board as possible. Drink plenty of water and get up and walk-It's really simple and effective.,
tt7147492,Movie,Yoga to Break Any Habit,Mark Knight,Dr Daniel J Nightingale,,,2014,ALL,20 min,Special Interest,"This session with Dr Daniel J Nightingale is helpful for anyone whose quality of life is diminished by habitual and addictive behavior. Discover techniques that can help you break your habit, allowing you to become in control of IT, rather than IT being in control of you. This session will prove to be beneficial to you any time you wish to listen to it-day or night.",https://m.media-amazon.com/images/M/MV5BNmVmNGIyYWEtM2NiMy00ZWIyLTg1NDQtYzM5MTdhN2I3YTVlXkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1_.jpg
tt20059418,Movie,Yoga Savasana Relaxation,Mark Knight,Anne-Marie Newland,,,2014,ALL,19 min,"Fitness, Special Interest",Relax and reduce your stress while you lay down in a comfortable position to listen to this session. Yoga relaxation takes the whole body into a deep state of conscious relaxation. During a sleep or dream state the conscious mind is switched off and we have dreams which can result in not sleeping well and then you often wake up feeling exhausted.,
tt0482026,Movie,Yoga for Relaxation Anywhere,Mark Knight,Anne-Marie Newland,,,2014,ALL,18 min,"Fitness, Special Interest","Yoga relaxation takes the whole body into a deep state of conscious relaxation. This means the mind has been afforded the tools needed to switch off its subconscious. During a sleep or dream state, the conscious mind is turned in the off position and as a result we have dreams which may lead to you not sleeping well, waking up often and feeling exhausted.",//fls-na.amazon.com/1/batch/1/OP/A1EVAM02EL8SFB:144-0285796-5340501:JXHK2DFDN7NWTWZCGG7N$uedata=s:%2Fuedata%2Fuedata%3Fnoscript%26id%3DJXHK2DFDN7NWTWZCGG7N:0
tt4975826,Movie,Yoga for Relaxation and Stress Relief Anywhere,Mark Knight,Anne-Marie Newland,,,2014,ALL,20 min,"Fitness, Special Interest","This session was designed to help you relax and reduce your level of stress with a daily dose of relaxation for the mind and the body. Lower your anxiety and increase your coping skills through the use of breathing that regulates the heart rhythm. In these stress relief sessions, the medical profession has evidence that the heart rate can actually drop and thus inducing calm.",https://m.media-amazon.com/images/M/MV5BYzFmYzg2ZmQtMzVkZS00MzM5LWExYWEtOTQ2OTg5NTA2ZDAzXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_.jpg
tt4975826,Movie,Yoga for Relaxation and Stress Relief,Mark Knight,Anne-Marie Newland,,,2014,ALL,20 min,Special Interest,"Relax and reduce your stress while you lay down in a comfortable position to listen to this session. It is a scientific fact that an overload of stress at home or work will eventually affect the body, the mind and its health. A daily dose of relaxation for the Mind and the body will help stress levels to lower by using the breath to regulate the heartbeat.",https://m.media-amazon.com/images/M/MV5BYzFmYzg2ZmQtMzVkZS00MzM5LWExYWEtOTQ2OTg5NTA2ZDAzXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_.jpg
tt0500194,Movie,Yoga for Mindfulness and Meditation,Mark Knight,Anne-Marie Newland,,,2016,ALL,22 min,"Fitness, Special Interest","We take you through Buddhist mindful philosophy, Yoga mantra meditation and a guided meditation session for use in your everyday life. Focusing on anything in your environment that you find soothing and calming helps you relax and our session gives you the tools to take your practice to new levels. Guided by Anne-Marie Newland the founder of Sun Power Yoga and author of Sun Power Yoga Shala.",https://m.media-amazon.com/images/M/MV5BMTIyMzI3NzUyM15BMl5BanBnXkFtZTYwNDA2MTI5._V1_.jpg
tt1245445,Movie,Yoga for Men's Health,Mark Knight,Anne-Marie Newland,,,2016,ALL,60 min,"Fitness, Special Interest","This session helps create confidence with simple technical rules that help develop your physical and mental ability. It is ideal for those who have never tried Yoga before as well as for the more advanced. The focus is on areas that are problematic for men, tight hips, thighs, groins, chest and back and increasing oxygen to the prostate gland. Guided by Anne-Marie Newland founder of Sun Power Yoga",https://m.media-amazon.com/images/M/MV5BODhmMTQ2MDItNDVhOC00YzAzLWJmOGMtOTM2NDJhZTdjY2U2XkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_.jpg
tt16876052,Movie,Yoga for Breath Awareness,Mark Knight,Anne-Marie Newland,,,2016,ALL,6 min,"Fitness, Special Interest","This breathing practice will reduce stress, calm the body and focus the mind, while also increasing energy. It is easy to begin this awareness by implementing five simple steps. This is perfect for short everyday relaxation before your exercise practice. Classically trained in the art of yoga in India and Canada, Anne-Marie Newland presents her own dynamic style of yoga known as Sun-Power Yoga.",
tt15045374,Movie,Yoga For Beginners,Mark Knight,Anne-Marie Newland,,,2016,ALL,54 min,"Fitness, Special Interest","This session is about the key to yoga - synchronized movement and breathing. Enjoying your experience is very important-don't push yourself to hard! This session is suitable for beginners of all levels of fitness and works every part of your body, offering variations for all movements. Guided by Anne-Marie Newland of Sun Power Yoga and Author of Sun Power Yoga Shala.",//fls-na.amazon.com/1/batch/1/OP/A1EVAM02EL8SFB:137-4414847-6108265:BWRH7F07KX6XBRQD2HA9$uedata=s:%2Fuedata%2Fuedata%3Fnoscript%26id%3DBWRH7F07KX6XBRQD2HA9:0
tt23694162,Movie,Yoga for Abdominal Breathing,Mark Knight,Anne-Marie Newland,,,2019,ALL,5 min,Special Interest,"This breathing practice will reduce stress, calm the body and focus the mind, while also increasing energy. Practice this for at least 5 minutes. If you did this each day you would notice stress levels dropping, sleep improve and your ability to focus as well as feeling a lot calmer!. Accompanying video Iao Valley on Maui.",
tt0048818,Movie,Yellowneck,R. John Hugh,"Lin McCarthy, Stephen Courtleigh, Berry Kroeger, Harold Gordon, Bill Mason",,,1955,18+,84 min,"Action, Military and War, Western","During the U.S. Civil War, five deserters (yellownecks) from the Confederate army decide to embark on a dangerous mission through the Florida everglades to escape to Cuba. They have to survive snakes, a Florida panther, quicksand, and a hurricane in the swamps, along with local angry indians. Only one of the men will survive to make it to the Florida coast, but which one? The hurricane scenes involve footage form a real hurricane that hit Florida during the shooting of the film.",https://m.media-amazon.com/images/M/MV5BM2NkOGMyNDQtOWE5Yi00NmU5LTg2NDktOWE4MTk4MWE0ODc5XkEyXkFqcGdeQXVyNTEwNDcxNDc@._V1_.jpg
tt3044862,Movie,Yatra (Telugu),Mahi V Raghav,"Mammootty, Suhasini Maniratnam",,,2019,ALL,126 min,"Drama, International",An Indian politician takes up a decision to go on a 900-mile walking tour as a part of his election campaign. Yatra is an emotional tribute to the former Chief Minister of Andhra Pradesh Y. S. Rajasekhara Reddy.,//fls-na.amazon.com/1/batch/1/OP/A1EVAM02EL8SFB:136-0888054-3666117:J5G7K50KAQCGN3WPWNJB$uedata=s:%2Fuedata%2Fuedata%3Fnoscript%26id%3DJ5G7K50KAQCGN3WPWNJB:0
tt8537520,Movie,Yatra (Malayalam),Mahi V Raghav,"Mammootty, Suhasini Maniratnam",,,2019,ALL,125 min,"Drama, International",An Indian politician takes up a decision to go on a 900-mile walking tour as a part of his election campaign. Yatra is an emotional tribute to the former Chief Minister of Andhra Pradesh Y. S. Rajasekhara Reddy.,https://m.media-amazon.com/images/M/MV5BNGQ5MGI0MzUtZjdmMS00YWY0LTliMTMtZGI1MmI4YTc1MmJkXkEyXkFqcGdeQXVyNzQ5ODAyMzQ@._V1_.jpg
tt0242150,Movie,Xchange,Allan Moyle,"Stephen Baldwin, Pascale Bussières, Kim Coates, Kyle MacLachlan, Tom Rack",,,2001,R,109 min,"Fantasy, Science Fiction, Suspense",A man learns the danger of a new technology that allows people to transport their minds into a waiting body at their chosen destination when his body is taken over by a terrorist.,https://m.media-amazon.com/images/M/MV5BMjA4NjMzNjM2OF5BMl5BanBnXkFtZTcwMjk2NzcyMQ@@._V1_.jpg
tt0057693,Movie,X-Ray,Boaz Davidson,"Barbi Benton, Chip Lucia",,,1983,R,89 min,Suspense,"A psychotic killer keeps a young girl trapped inside a hospital, having fixed her x-rays to make it look like she has a terminal illness, and brutally murders everyone she comes in contact with.",https://m.media-amazon.com/images/M/MV5BNjgyYjBhNjgtNzcwMi00YzRmLTgwM2EtNDNjNWRlZjhkZjE2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg
tt1053951,Movie,Wrangler: Anatomy of an Icon,Jeffrey Schwarz,"Jack Wrangler, Margaret Whiting, Marc Shaiman, Bruce Vilanch, Christine Ebersole, Michael Musto, Chi Chi La Rue, Sharon Mitchell, Jamie Gillis, Candida Royalle, Samantha Fox, Gloria Leonard",,,2008,18+,85 min,"Documentary, LGBTQ","From the dawn of the sexual revolution comes the outrageous and true story of 1970s gay porn icon Jack Wrangler. Jack rose to become a major brand name in adult entertainment, as well as a hero to the newly liberated gay population, only to cross over to straight movies and fall in love with famous vocalist Margaret Whiting.",https://m.media-amazon.com/images/M/MV5BMjEwMzIyMTA0NF5BMl5BanBnXkFtZTcwODc3MDk5MQ@@._V1_.jpg
tt7496808,Movie,World War II: Saving the Reality,Tim Gray,Dan Aykroyd,,,2012,,56 min,Documentary,"Over the course of five decades, Kenneth W. Rendell amassed the largest and most comprehensive private collection of original World War II memorabilia in the world. Narrated by Dan Aykroyd, World War II: Saving the Reality opens the doors to this private museum. Rendell provides a guided tour of the museum's 30 exhibits.",https://m.media-amazon.com/images/M/MV5BYWFlODkxMGEtOTE0Ni00ZTU1LWI2NjctZjVmMTc3NDU4OGFmXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_.jpg
,Movie,World Inferno Friendship Society,Baeble Music,,,,2007,NR,40 min,Music Videos and Concerts,The circus comes to town with this performance at the traveling Spiegeltent from Wolrd Inferno Friendship Society.,
tt8045906,Movie,Words On Bathroom Walls,Thor Freudenthal,"Charlie Plummer, Taylor Russell, Andy Garcia, AnnaSophia Robb, Beth Grant, Devin Bostick, Lobo Sebastian, Molly Parker, Walton Goggins",,,2020,PG-13,111 min,Drama,"Diagnosed with a mental illness, a witty, introspective teen falls in love with a brilliant classmate who inspires him to open his heart and not be defined by his condition.",https://m.media-amazon.com/images/M/MV5BNTJmNTNlZDEtM2JjNy00MmNmLTgzNWItN2VlZGNlNjM1YjFmXkEyXkFqcGdeQXVyMTExMDk0NzQ3._V1_.jpg
tt10098422,Movie,Wonderful Nursery Rhymes with Mia - Little Baby Bum,Cannis Holder,,,,2019,ALL,33 min,Kids,LittleBabyBum is proud to present a compilation with some of the most popular and educational nursery rhymes with Mia!,https://m.media-amazon.com/images/M/MV5BMjVhZDE0NDAtNDAzYy00ZGU1LTliYTItOWU2NzA4OTczOGFjXkEyXkFqcGdeQXVyMTAwMTYyNjE0._V1_.jpg
tt10098426,Movie,Wonderful Nursery Rhymes with Jacus - By Little Baby Bum,Cannis Holder,,,,2019,ALL,34 min,Kids,Enjoy this educational and fun compilation of classic nursery rhymes with Jacus from Little Baby Bum!,https://m.media-amazon.com/images/M/MV5BNWY4MzA2MjAtM2MzMS00ZWFmLTgyM2MtYjg4ODMwYzkyZGQ2XkEyXkFqcGdeQXVyMTAwMTYyNjE0._V1_.jpg
tt0092236,Movie,Women of Valor,Buzz Kulik,"Susan Sarandon, Kristy McNichol, Terry O'Quinn",,,1986,16+,95 min,"Action, Drama","Susan Sarandon and Kristy McNichol star in this powerful drama sent during World War II, when a group of U.S. Army nurses in the Philippines are captured and imprisoned by Japanese troops.",https://m.media-amazon.com/images/M/MV5BMTY3MjQxMzM4NF5BMl5BanBnXkFtZTYwNzg1NzQ5._V1_.jpg
